\begin{tabular}{lrrrrrrrr}
\toprule
algorithm & function & dim & min & max & median & mean & std & ranking \\
\midrule
ctxt1_sol_0 & 1 & 10 & 22644.737871 & 49480.712413 & 33715.828079 & 34309.698814 & 7410.161529 & 2.500000 \\
ctxt1_sol_1 & 1 & 10 & 16160.849345 & 55162.819019 & 34459.963496 & 35531.130329 & 10130.596360 & 4.000000 \\
ctxt1_sol_2 & 1 & 10 & 17639.877426 & 57704.387224 & 40279.051852 & 40661.456001 & 10499.703726 & 5.000000 \\
ctxt1_sol_3 & 1 & 10 & 13971.980694 & 39149.773571 & 26867.680738 & 26958.003274 & 5360.252334 & 1.000000 \\
ctxt1_sol_8 & 1 & 10 & 7155.588066 & 54750.986112 & 34531.767893 & 33295.048743 & 9867.849159 & 2.500000 \\
ctxt1_sol_0 & 2 & 10 & 433.223908 & 1785.523391 & 1068.605665 & 1086.849182 & 332.025224 & 2.500000 \\
ctxt1_sol_1 & 2 & 10 & 297.705133 & 2645.920835 & 1059.264586 & 1101.662534 & 525.365850 & 2.500000 \\
ctxt1_sol_2 & 2 & 10 & 472.351591 & 6012.828332 & 2070.240856 & 2324.763972 & 1077.899303 & 4.500000 \\
ctxt1_sol_3 & 2 & 10 & 221.248335 & 866.900097 & 433.184156 & 461.491751 & 161.930048 & 1.000000 \\
ctxt1_sol_8 & 2 & 10 & 703.081499 & 3928.507836 & 1860.038794 & 1914.902516 & 704.396751 & 4.500000 \\
ctxt1_sol_0 & 3 & 10 & 50.827777 & 92.787198 & 73.643234 & 72.515202 & 10.669987 & 3.000000 \\
ctxt1_sol_1 & 3 & 10 & 54.543510 & 91.814274 & 70.744033 & 71.921971 & 8.760984 & 3.000000 \\
ctxt1_sol_2 & 3 & 10 & 57.528692 & 106.526242 & 86.591911 & 84.187815 & 11.184094 & 5.000000 \\
ctxt1_sol_3 & 3 & 10 & 39.011574 & 69.211131 & 58.004842 & 57.353197 & 5.935760 & 1.000000 \\
ctxt1_sol_8 & 3 & 10 & 54.728449 & 95.245830 & 75.767559 & 73.364353 & 10.407046 & 3.000000 \\
ctxt1_sol_0 & 4 & 10 & 73.278943 & 112.891975 & 95.133489 & 93.608902 & 9.471013 & 3.000000 \\
ctxt1_sol_1 & 4 & 10 & 78.673550 & 114.121212 & 98.714540 & 97.043423 & 10.523431 & 3.000000 \\
ctxt1_sol_2 & 4 & 10 & 62.600350 & 126.134011 & 105.154805 & 103.856682 & 14.024560 & 5.000000 \\
