\begin{tabular}{lrrrrrrrr}
\toprule
algorithm & function & dim & min & max & median & mean & std & ranking \\
\midrule
ctxt1_sol_0 & 1 & 10 & 19613.681526 & 82575.652346 & 44670.187527 & 48239.176705 & 16840.228215 & 3.500000 \\
ctxt1_sol_1 & 1 & 10 & 20755.650817 & 75990.857446 & 43962.487993 & 45473.640371 & 13631.334683 & 3.500000 \\
ctxt1_sol_2 & 1 & 10 & 243.163225 & 1445.772110 & 907.367311 & 893.257230 & 350.818988 & 2.000000 \\
ctxt1_sol_3 & 1 & 10 & 0.000000 & 0.000000 & 0.000000 & 0.000000 & 0.000000 & 1.000000 \\
ctxt1_sol_0 & 2 & 10 & 165.607269 & 1152.066932 & 493.973835 & 533.742596 & 226.002136 & 4.000000 \\
ctxt1_sol_1 & 2 & 10 & 152.565358 & 685.104796 & 407.822614 & 398.568121 & 126.467056 & 3.000000 \\
ctxt1_sol_2 & 2 & 10 & 8.985337 & 63.820161 & 10.484317 & 12.681338 & 9.853639 & 2.000000 \\
ctxt1_sol_3 & 2 & 10 & 0.025414 & 4.113085 & 4.021968 & 2.320945 & 1.975408 & 1.000000 \\
ctxt1_sol_0 & 3 & 10 & 69.641490 & 119.440416 & 83.178479 & 84.510680 & 11.964781 & 4.000000 \\
ctxt1_sol_1 & 3 & 10 & 46.504522 & 121.288841 & 75.908865 & 76.709137 & 13.923718 & 3.000000 \\
ctxt1_sol_2 & 3 & 10 & 3.883392 & 8.461489 & 5.861049 & 6.126452 & 1.303496 & 2.000000 \\
ctxt1_sol_3 & 3 & 10 & 0.000175 & 2.069716 & 0.035382 & 0.153652 & 0.382879 & 1.000000 \\
ctxt1_sol_0 & 4 & 10 & 84.635007 & 137.414924 & 108.458823 & 112.485353 & 15.396030 & 3.500000 \\
ctxt1_sol_1 & 4 & 10 & 84.462173 & 124.107769 & 110.019509 & 108.837388 & 8.772170 & 3.500000 \\
ctxt1_sol_2 & 4 & 10 & 24.607825 & 46.552727 & 37.750352 & 37.047322 & 5.469923 & 2.000000 \\
ctxt1_sol_3 & 4 & 10 & 3.979836 & 14.924371 & 10.447063 & 10.546557 & 2.701694 & 1.000000 \\
ctxt1_sol_0 & 5 & 10 & 1154.866509 & 5715.726096 & 3145.999686 & 3337.129756 & 1017.752501 & 3.500000 \\
ctxt1_sol_1 & 5 & 10 & 2086.310457 & 4646.926066 & 3337.165882 & 3358.711021 & 567.111889 & 3.500000 \\
ctxt1_sol_2 & 5 & 10 & 17.326053 & 69.136899 & 27.107416 & 31.348163 & 12.791563 & 2.000000 \\
ctxt1_sol_3 & 5 & 10 & 0.000000 & 454.591372 & 3.534542 & 35.547445 & 97.464293 & 1.000000 \\
ctxt1_sol_0 & 6 & 10 & 7175957.905798 & 1477281149.220644 & 349153306.841413 & 423031277.768669 & 352765411.710468 & 4.000000 \\
ctxt1_sol_1 & 6 & 10 & 12608390.610158 & 551160776.915126 & 164489673.428548 & 212926990.986881 & 155935350.277496 & 3.000000 \\
ctxt1_sol_2 & 6 & 10 & 4444.058555 & 140193.365819 & 30448.894832 & 37299.019031 & 29069.070787 & 2.000000 \\
ctxt1_sol_3 & 6 & 10 & 39.640836 & 4808.688200 & 1349.007337 & 1801.602598 & 1595.990827 & 1.000000 \\
ctxt1_sol_0 & 7 & 10 & 127.127760 & 328.227170 & 209.233357 & 208.018568 & 45.784210 & 4.000000 \\
