\begin{tabular}{lrrrrrrrr}
\toprule
algorithm & function & dim & min & max & median & mean & std & ranking \\
\midrule
ctxt1_sol_0 & 1 & 10 & 0.000000 & 24475.017237 & 0.000000 & 3293.111147 & 6422.547770 & 2.000000 \\
ctxt1_sol_1 & 1 & 10 & 0.000000 & 33860.689686 & 1175.394972 & 4361.074332 & 7207.595573 & 4.500000 \\
ctxt1_sol_2 & 1 & 10 & 0.000000 & 26778.939116 & 0.000000 & 1822.990412 & 5026.191040 & 2.000000 \\
ctxt1_sol_3 & 1 & 10 & 0.000000 & 25570.691273 & 0.000000 & 1921.121005 & 4840.448421 & 4.500000 \\
ctxt1_sol_4 & 1 & 10 & 0.000000 & 4514.404029 & 0.000000 & 805.026303 & 1416.417203 & 2.000000 \\
ctxt1_sol_0 & 2 & 10 & 8.241276 & 668.149266 & 63.223620 & 108.854210 & 145.697846 & 5.000000 \\
ctxt1_sol_1 & 2 & 10 & 0.385111 & 380.755689 & 43.853989 & 54.868597 & 69.656359 & 3.000000 \\
ctxt1_sol_2 & 2 & 10 & 8.241276 & 207.290672 & 26.214626 & 46.867593 & 43.270116 & 3.000000 \\
ctxt1_sol_3 & 2 & 10 & 6.323716 & 121.568491 & 37.410575 & 41.916783 & 33.189321 & 1.000000 \\
ctxt1_sol_4 & 2 & 10 & 8.241276 & 104.785624 & 51.892071 & 51.775750 & 29.457091 & 3.000000 \\
ctxt1_sol_0 & 3 & 10 & 0.000000 & 19.972033 & 4.076931 & 4.943122 & 4.854619 & 2.500000 \\
ctxt1_sol_1 & 3 & 10 & 0.000000 & 30.787786 & 8.565686 & 12.021187 & 9.984078 & 5.000000 \\
ctxt1_sol_2 & 3 & 10 & 0.000000 & 15.400118 & 3.706158 & 4.275448 & 3.874140 & 2.500000 \\
ctxt1_sol_3 & 3 & 10 & 0.000000 & 15.663524 & 2.842578 & 4.198342 & 4.435905 & 2.500000 \\
ctxt1_sol_4 & 3 & 10 & 0.000000 & 31.206339 & 4.305862 & 6.151458 & 7.278590 & 2.500000 \\
ctxt1_sol_0 & 4 & 10 & 11.939504 & 47.572505 & 26.129917 & 26.630574 & 9.767447 & 2.500000 \\
ctxt1_sol_1 & 4 & 10 & 11.939499 & 66.277251 & 36.460467 & 37.025344 & 15.615917 & 5.000000 \\
ctxt1_sol_2 & 4 & 10 & 6.964713 & 50.851180 & 23.878911 & 23.941731 & 10.726959 & 2.500000 \\
ctxt1_sol_3 & 4 & 10 & 4.974795 & 43.909960 & 22.884026 & 22.535001 & 9.718549 & 2.500000 \\
ctxt1_sol_4 & 4 & 10 & 8.954626 & 47.311946 & 22.884018 & 24.084054 & 9.020446 & 2.500000 \\
ctxt1_sol_0 & 5 & 10 & 0.000000 & 818.566396 & 0.454324 & 99.547344 & 190.887804 & 4.000000 \\
ctxt1_sol_1 & 5 & 10 & 0.000000 & 1397.555416 & 3.845901 & 275.923762 & 384.306896 & 5.000000 \\
ctxt1_sol_2 & 5 & 10 & 0.000000 & 260.764320 & 0.089528 & 59.753745 & 99.919289 & 1.500000 \\
ctxt1_sol_3 & 5 & 10 & 0.000000 & 342.484345 & 0.000000 & 28.861404 & 87.557630 & 1.500000 \\
ctxt1_sol_4 & 5 & 10 & 0.000000 & 296.619839 & 0.089528 & 71.477528 & 110.414183 & 3.000000 \\
ctxt1_sol_0 & 6 & 10 & 102.426184 & 6456.761061 & 3509.725463 & 3762.384201 & 2283.444793 & 1.000000 \\
ctxt1_sol_1 & 6 & 10 & 145.342147 & 939423.795118 & 6345.160651 & 62611.390234 & 180851.504876 & 5.000000 \\
ctxt1_sol_2 & 6 & 10 & 91.873729 & 6520.577313 & 6281.469049 & 4757.387794 & 1953.731644 & 3.500000 \\
ctxt1_sol_3 & 6 & 10 & 36.631332 & 6527.769811 & 3596.372397 & 3812.091569 & 1984.279925 & 2.000000 \\
ctxt1_sol_4 & 6 & 10 & 434.684616 & 6525.634863 & 6293.835654 & 4972.184029 & 1915.768534 & 3.500000 \\
ctxt1_sol_0 & 7 & 10 & 19.998996 & 194.442726 & 22.627491 & 46.338126 & 52.132111 & 3.000000 \\
ctxt1_sol_1 & 7 & 10 & 19.999949 & 83.781438 & 23.637401 & 32.543902 & 16.891378 & 3.000000 \\
ctxt1_sol_2 & 7 & 10 & 20.076948 & 31.148027 & 22.695705 & 23.400235 & 3.490714 & 3.000000 \\
ctxt1_sol_3 & 7 & 10 & 20.112437 & 52.688789 & 22.749958 & 23.646565 & 5.891251 & 3.000000 \\
ctxt1_sol_4 & 7 & 10 & 20.047156 & 73.434890 & 21.998576 & 25.454343 & 10.736115 & 3.000000 \\
ctxt1_sol_0 & 8 & 10 & 4.537813 & 192.983438 & 26.202020 & 32.655152 & 31.661424 & 3.500000 \\
ctxt1_sol_1 & 8 & 10 & 20.197734 & 148.706432 & 29.684546 & 33.911505 & 22.407308 & 5.000000 \\
ctxt1_sol_2 & 8 & 10 & 5.189622 & 142.074520 & 24.300209 & 29.555324 & 22.511058 & 1.500000 \\
ctxt1_sol_3 & 8 & 10 & 20.412253 & 39.161350 & 22.842955 & 24.640181 & 4.421136 & 1.500000 \\
ctxt1_sol_4 & 8 & 10 & 1.946895 & 64.934442 & 27.244050 & 28.443003 & 12.043724 & 3.500000 \\
ctxt1_sol_0 & 9 & 10 & 229.284383 & 549.390543 & 249.365035 & 309.941869 & 91.446345 & 4.500000 \\
ctxt1_sol_1 & 9 & 10 & 229.284383 & 400.946065 & 229.840387 & 262.244789 & 55.731000 & 1.500000 \\
ctxt1_sol_2 & 9 & 10 & 229.284383 & 395.650177 & 252.364321 & 288.210227 & 57.540891 & 4.500000 \\
ctxt1_sol_3 & 9 & 10 & 229.284383 & 384.039672 & 232.928879 & 247.358184 & 39.927308 & 1.500000 \\
ctxt1_sol_4 & 9 & 10 & 229.284383 & 408.264421 & 232.928879 & 277.860269 & 63.283009 & 3.000000 \\
ctxt1_sol_0 & 10 & 10 & 100.621752 & 872.531479 & 220.645143 & 276.305194 & 218.390812 & 5.000000 \\
ctxt1_sol_1 & 10 & 10 & 100.226914 & 519.416942 & 115.138771 & 174.136286 & 92.220884 & 3.000000 \\
ctxt1_sol_2 & 10 & 10 & 100.749426 & 241.936717 & 114.754441 & 162.777085 & 62.543638 & 3.000000 \\
ctxt1_sol_3 & 10 & 10 & 100.581734 & 239.948377 & 161.854918 & 163.878873 & 58.778351 & 1.000000 \\
ctxt1_sol_4 & 10 & 10 & 100.558677 & 1080.129595 & 115.088344 & 233.423770 & 219.320904 & 3.000000 \\
ctxt1_sol_0 & 11 & 10 & 166.622905 & 1383.997033 & 201.262338 & 359.976173 & 295.358641 & 3.000000 \\
ctxt1_sol_1 & 11 & 10 & 166.622914 & 883.728520 & 199.203246 & 334.176975 & 230.224575 & 3.000000 \\
ctxt1_sol_2 & 11 & 10 & 166.627830 & 812.933592 & 204.604939 & 325.314193 & 218.595882 & 3.000000 \\
ctxt1_sol_3 & 11 & 10 & 166.627781 & 812.751893 & 204.604939 & 350.519477 & 215.699861 & 3.000000 \\
ctxt1_sol_4 & 11 & 10 & 166.655091 & 812.986432 & 203.002888 & 316.309471 & 213.106394 & 3.000000 \\
ctxt1_sol_0 & 12 & 10 & 162.442121 & 226.725300 & 172.764427 & 178.278763 & 15.058060 & 5.000000 \\
ctxt1_sol_1 & 12 & 10 & 162.442121 & 190.042635 & 169.141174 & 169.881481 & 6.934879 & 2.500000 \\
ctxt1_sol_2 & 12 & 10 & 162.442121 & 224.847492 & 169.522662 & 173.214472 & 15.000948 & 2.500000 \\
ctxt1_sol_3 & 12 & 10 & 161.530506 & 243.451061 & 169.162641 & 170.814624 & 14.317597 & 2.500000 \\
ctxt1_sol_4 & 12 & 10 & 161.778697 & 202.486591 & 164.921781 & 168.012509 & 7.555160 & 2.500000 \\
\bottomrule
\end{tabular}
